#time	operator	index_1	index_2	index_3	value
2.3	XZZ	21	23	17	0.750575048321392
2.3	XZZ	17	21	13	0.799316640733043
2.3	XZZ	13	17	9	0.770454614873206
2.3	XZZ	9	13	5	-0.0341444874269041
2.3	XZZ	5	9	1	-0.044847603533442

2.35	XZZ	1	5	3	0.678552111522738
2.35	XZZ	3	1	7	0.724395908702775
2.35	XZZ	7	3	11	0.766795678197444
2.35	XZZ	11	7	15	0.727069244751875
2.35	XZZ	15	11	19	0.497243274764526
2.35	XZZ	19	15	23	0.60633913491008
2.35	XZZ	23	19	21	0.70410713860127
2.35	XZZ	21	23	17	0.737223829938025
2.35	XZZ	17	21	13	0.788547365173204
2.35	XZZ	13	17	9	0.76134068103419
2.35	XZZ	9	13	5	-0.0395230202112491
2.35	XZZ	5	9	1	-0.0519656949873772

2.4	XZZ	1	5	3	0.661478098321168
2.4	XZZ	3	1	7	0.709209043661583
2.4	XZZ	7	3	11	0.753312717801027
2.4	XZZ	11	7	15	0.714601277731846
2.4	XZZ	15	11	19	0.467677102375633
2.4	XZZ	19	15	23	0.587719220822705
2.4	XZZ	23	19	21	0.690409823919808
2.4	XZZ	21	23	17	0.723621292964701
2.4	XZZ	17	21	13	0.777513027643401
